Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.22,-.30,-.06,-.15,-.18,-.26,-.23,-.32,-.42,-.40,-.28,***,***,-.19,-.20,-.32
1881,-.31,-.23,-.04,.00,.03,-.34,.07,-.05,-.27,-.44,-.37,-.24,-.18,-.20,-.31,.00,-.11,-.36
1882,.26,.21,.02,-.32,-.25,-.31,-.29,-.15,-.25,-.52,-.33,-.67,-.22,-.18,.08,-.18,-.25,-.37
1883,-.57,-.66,-.15,-.29,-.25,-.13,-.04,-.22,-.33,-.16,-.42,-.15,-.28,-.32,-.64,-.23,-.13,-.30
1884,-.16,-.09,-.62,-.60,-.37,-.44,-.40,-.51,-.46,-.45,-.58,-.47,-.43,-.40,-.13,-.53,-.45,-.50
1885,-1.01,-.46,-.24,-.49,-.59,-.46,-.35,-.42,-.40,-.37,-.38,-.11,-.44,-.47,-.65,-.44,-.41,-.38
1886,-.74,-.84,-.71,-.37,-.34,-.38,-.15,-.43,-.33,-.31,-.40,-.21,-.43,-.43,-.56,-.47,-.32,-.35
1887,-1.08,-.70,-.44,-.38,-.26,-.21,-.25,-.55,-.21,-.49,-.27,-.43,-.44,-.42,-.66,-.36,-.34,-.32
1888,-.49,-.61,-.63,-.22,-.15,-.03,.00,-.22,-.20,-.03,-.01,-.23,-.23,-.25,-.51,-.33,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.08,-.21,-.30,-.41,-.62,-.54,-.18,-.15,-.07,.03,-.12,-.44
1890,-.63,-.57,-.47,-.25,-.36,-.16,-.23,-.39,-.35,-.10,-.63,-.47,-.39,-.39,-.58,-.36,-.26,-.36
1891,-.46,-.67,-.16,-.35,-.16,-.13,-.12,-.13,-.08,-.28,-.53,-.03,-.26,-.29,-.53,-.22,-.13,-.29
1892,-.50,-.17,-.68,-.46,-.24,-.06,-.38,-.34,-.21,-.28,-.83,-.66,-.40,-.35,-.23,-.46,-.26,-.44
1893,-1.50,-.95,-.31,-.30,-.43,-.17,-.14,-.34,-.29,-.28,-.33,-.61,-.47,-.48,-1.04,-.35,-.22,-.30
1894,-.91,-.42,-.21,-.53,-.26,-.41,-.20,-.27,-.33,-.27,-.48,-.35,-.39,-.41,-.65,-.33,-.30,-.36
1895,-.70,-.80,-.49,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.12,-.22,-.30,-.31,-.62,-.33,-.22,-.09
1896,-.36,-.18,-.49,-.59,-.16,.07,.00,-.11,-.12,.04,-.20,-.21,-.19,-.19,-.25,-.41,-.01,-.09
1897,-.39,-.40,-.38,-.04,.14,-.06,.05,-.06,-.06,-.16,-.25,-.29,-.16,-.15,-.33,-.09,-.02,-.16
1898,.05,-.44,-.79,-.28,-.28,-.09,-.13,-.18,-.17,-.36,-.50,-.26,-.29,-.29,-.22,-.45,-.13,-.35
1899,-.12,-.64,-.58,-.22,-.24,-.35,-.17,-.07,-.05,.05,.35,-.47,-.21,-.19,-.34,-.35,-.20,.12
1900,-.62,-.14,.05,-.10,-.04,-.11,-.12,-.09,-.03,.22,-.13,-.02,-.09,-.13,-.41,-.03,-.10,.02
1901,-.34,-.10,.26,.10,-.12,.00,.01,-.16,-.28,-.32,-.20,-.40,-.13,-.10,-.16,.08,-.05,-.26
1902,-.13,-.04,-.38,-.37,-.40,-.41,-.33,-.29,-.33,-.32,-.47,-.60,-.34,-.32,-.19,-.38,-.34,-.38
1903,-.23,.11,-.16,-.46,-.44,-.46,-.42,-.55,-.49,-.46,-.40,-.56,-.38,-.38,-.24,-.35,-.48,-.45
1904,-.75,-.61,-.46,-.50,-.44,-.49,-.59,-.55,-.63,-.39,-.09,-.34,-.49,-.50,-.64,-.46,-.54,-.37
1905,-.41,-.82,-.23,-.46,-.29,-.28,-.22,-.24,-.19,-.27,.09,-.16,-.29,-.30,-.52,-.32,-.25,-.13
1906,-.56,-.53,-.21,.05,-.25,-.12,-.27,-.17,-.25,-.18,-.41,.03,-.24,-.25,-.42,-.14,-.19,-.28
1907,-.57,-.73,-.30,-.45,-.59,-.52,-.40,-.39,-.40,-.19,-.56,-.59,-.47,-.42,-.42,-.45,-.43,-.38
1908,-.54,-.27,-.70,-.47,-.29,-.30,-.36,-.58,-.31,-.45,-.63,-.55,-.45,-.46,-.47,-.49,-.41,-.47
1909,-.94,-.45,-.67,-.65,-.50,-.53,-.45,-.36,-.38,-.35,-.12,-.57,-.50,-.49,-.65,-.61,-.45,-.28
1910,-.35,-.37,-.49,-.41,-.31,-.45,-.39,-.41,-.43,-.31,-.62,-.82,-.45,-.43,-.43,-.40,-.42,-.45
1911,-.70,-.59,-.63,-.46,-.46,-.35,-.39,-.43,-.38,-.19,-.20,-.30,-.42,-.47,-.70,-.52,-.39,-.26
1912,-.36,-.17,-.61,-.16,-.14,-.15,-.53,-.78,-.81,-.85,-.52,-.57,-.47,-.45,-.28,-.30,-.48,-.73
