Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.03,.05,-.02,-.13,-.25,-.18,.06,-.05,-.15,-.01,.05,-.05,***,***,-.04,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.03,-.04,-.01,-.01,.09,.00,-.01,-.04,.09,-.06,-.02
1882,.06,.07,.07,-.02,-.05,-.16,-.05,.00,-.04,.03,-.02,-.08,-.01,.00,.07,.00,-.07,-.01
1883,-.03,-.09,-.09,-.07,-.10,-.03,-.09,-.06,-.10,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.09,-.06,-.10,-.22,-.32,-.30,-.22,-.07,-.11,-.07,-.11,-.16,-.15,-.14,-.07,-.21,-.20,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.19,-.13,-.12,-.10,-.25,-.25,-.20,-.33,-.33,-.15
1886,-.15,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.15,-.24,-.16,-.29,-.20,-.19,-.15,-.18,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.37,-.31,-.24,-.26
1888,-.21,-.13,-.21,-.20,-.29,-.31,-.20,-.10,-.04,.06,.06,.15,-.12,-.15,-.19,-.23,-.21,.03
1889,.08,.03,.13,.03,.01,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.03,.08,.06,-.13,-.11
1890,-.21,-.32,-.34,-.35,-.44,-.33,-.32,-.39,-.37,-.39,-.25,-.17,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.29,-.23,-.22,-.23,-.16,-.11,-.05,-.19,-.20,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.23,-.38,-.26,-.21,-.13,-.01,-.03,-.11,-.16,-.15,-.07,-.20,-.28,-.06
1893,-.13,-.18,-.12,-.24,-.25,-.33,-.14,-.18,-.16,-.08,-.04,-.03,-.16,-.16,-.14,-.20,-.22,-.10
1894,-.14,-.16,-.24,-.36,-.35,-.40,-.27,-.21,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.15,-.07,-.18,-.12,-.20,-.05,-.15,-.15,-.09,-.22,-.14,-.16
1896,-.08,-.07,-.04,-.01,-.15,-.29,-.05,.01,-.01,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.12,.00,-.16,-.16,-.08,-.12,-.09,-.09,-.10,-.13,-.05,-.03,.10,-.01,-.12,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.25,-.32,-.26,-.20,-.26,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.11,-.05,-.12,-.09,-.06,-.14,-.15,-.18,-.18,-.18,-.08
1900,-.10,.03,-.05,-.07,-.13,-.09,-.13,-.08,-.06,-.01,.01,-.10,-.07,-.06,-.04,-.08,-.10,-.02
1901,-.11,-.12,-.14,-.15,-.18,-.24,-.29,-.24,-.16,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.26,-.18
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.22,-.30,-.23,-.27,-.25,-.23,-.22,-.21,-.16,-.20,-.25,-.25
1903,-.24,-.23,-.30,-.36,-.36,-.39,-.27,-.36,-.50,-.48,-.43,-.46,-.37,-.35,-.23,-.34,-.34,-.47
1904,-.51,-.56,-.56,-.51,-.59,-.48,-.42,-.43,-.47,-.38,-.25,-.31,-.46,-.47,-.51,-.55,-.45,-.37
1905,-.28,-.35,-.20,-.21,-.29,-.27,-.30,-.16,-.17,-.21,-.21,-.08,-.23,-.25,-.32,-.23,-.24,-.19
1906,.01,-.04,-.16,-.14,-.27,-.28,-.18,-.23,-.32,-.23,-.35,-.33,-.21,-.19,-.04,-.19,-.23,-.30
1907,-.27,-.29,-.24,-.29,-.34,-.32,-.30,-.29,-.28,-.25,-.37,-.35,-.30,-.30,-.30,-.29,-.30,-.30
1908,-.34,-.38,-.40,-.40,-.46,-.46,-.34,-.35,-.40,-.43,-.41,-.43,-.40,-.39,-.36,-.42,-.39,-.41
1909,-.50,-.46,-.41,-.52,-.59,-.51,-.45,-.32,-.40,-.45,-.52,-.55,-.47,-.46,-.46,-.51,-.43,-.46
1910,-.50,-.44,-.52,-.44,-.38,-.32,-.30,-.33,-.34,-.50,-.53,-.53,-.43,-.43,-.50,-.45,-.32,-.46
1911,-.54,-.57,-.58,-.62,-.58,-.67,-.46,-.45,-.44,-.34,-.22,-.12,-.47,-.50,-.55,-.60,-.53,-.33
1912,-.17,-.14,-.16,-.19,-.29,-.33,-.32,-.31,-.33,-.30,-.26,-.29,-.26,-.24,-.14,-.22,-.32,-.30
1913,-.25,-.26,-.39,-.29,-.32,-.40,-.20,-.20,-.26,-.24,-.25,-.14,-.27,-.28,-.27,-.34,-.27,-.25
1914,-.08,-.09,-.11,-.19,-.22,-.27,-.12,-.04,-.01,-.04,-.06,.00,-.10,-.11,-.10,-.17,-.14,-.04
1915,-.12,.03,.06,.07,-.10,-.29,-.13,-.27,-.18,-.20,-.22,-.18,-.13,-.11,-.03,.01,-.23,-.20
1916,-.15,-.12,-.17,-.26,-.33,-.47,-.40,-.21,-.24,-.33,-.47,-.51,-.31,-.28,-.15,-.25,-.36,-.35
1917,-.63,-.59,-.53,-.46,-.38,-.39,-.19,-.06,-.15,-.26,-.36,-.30,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.27,-.24,-.25,-.30,-.37,-.28,-.28,-.26,-.09,-.05,.02,.00,-.20,-.22,-.27,-.31,-.28,-.04
1919,-.01,-.05,-.02,-.01,-.13,-.31,-.25,-.37,-.31,-.31,-.34,-.28,-.20,-.18,-.02,-.06,-.31,-.32
1920,-.33,-.23,-.24,-.27,-.32,-.45,-.34,-.20,-.07,-.12,-.08,-.20,-.24,-.24,-.28,-.28,-.33,-.09
1921,-.28,-.27,-.36,-.43,-.35,-.38,-.26,-.22,-.19,-.05,-.17,-.21,-.26,-.26,-.25,-.38,-.29,-.13
1922,-.28,-.25,-.18,-.30,-.47,-.45,-.27,-.29,-.28,-.33,-.17,-.23,-.29,-.29,-.25,-.32,-.34,-.26
1923,-.37,-.31,-.29,-.28,-.28,-.33,-.32,-.38,-.43,-.32,-.19,-.17,-.31,-.31,-.31,-.28,-.34,-.31
1924,-.16,-.25,-.18,-.33,-.30,-.32,-.34,-.46,-.41,-.46,-.52,-.50,-.35,-.32,-.19,-.27,-.37,-.47
1925,-.50,-.43,-.32,-.35,-.36,-.38,-.26,-.21,-.33,-.24,-.11,-.08,-.30,-.33,-.48,-.35,-.28,-.22
1926,-.10,-.12,-.14,-.11,-.22,-.29,-.32,-.19,-.23,-.27,-.27,-.28,-.21,-.19,-.10,-.15,-.27,-.26
1927,-.25,-.27,-.30,-.34,-.38,-.40,-.29,-.31,-.26,-.24,-.19,-.26,-.29,-.29,-.26,-.34,-.33,-.23
1928,-.28,-.25,-.25,-.23,-.41,-.43,-.28,-.26,-.26,-.29,-.22,-.29,-.29,-.29,-.26,-.30,-.32,-.25
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.43,-.29,-.26,-.19,-.41,-.38,-.37,-.33,-.47,-.43,-.25
1930,-.47,-.34,-.33,-.33,-.28,-.31,-.36,-.30,-.27,-.23,-.07,-.17,-.29,-.31,-.41,-.31,-.33,-.19
1931,-.18,-.15,-.12,-.23,-.22,-.29,-.13,-.16,-.28,-.24,-.36,-.20,-.21,-.21,-.17,-.19,-.19,-.29
1932,-.09,-.15,-.15,-.21,-.24,-.42,-.33,-.35,-.30,-.31,-.21,-.30,-.25,-.25,-.15,-.20,-.36,-.27
1933,-.27,-.28,-.27,-.31,-.32,-.36,-.29,-.33,-.31,-.33,-.38,-.36,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.32,-.32,-.27,-.27,-.16,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.30,-.19,-.20
1935,-.26,-.29,-.31,-.38,-.29,-.38,-.38,-.37,-.34,-.21,-.19,-.16,-.30,-.30,-.26,-.33,-.38,-.25
1936,-.26,-.24,-.28,-.33,-.31,-.47,-.28,-.28,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.34,-.16
1937,-.24,-.18,-.17,-.24,-.23,-.23,-.21,-.12,-.09,-.15,-.07,-.14,-.17,-.17,-.19,-.21,-.19,-.11
1938,-.19,-.21,-.15,-.19,-.22,-.28,-.17,-.21,-.15,-.04,-.17,-.13,-.18,-.18,-.18,-.19,-.22,-.12
1939,-.15,-.13,-.12,-.12,-.10,-.14,-.15,-.19,-.26,-.15,-.10,.10,-.13,-.14,-.14,-.11,-.16,-.17
1940,.11,.04,.16,.08,.07,.07,.10,.09,.07,-.04,.06,.29,.09,.08,.08,.11,.09,.03
1941,.20,.17,.10,.22,.13,.08,.21,.13,-.02,.23,.29,.26,.17,.17,.22,.15,.14,.17
1942,.19,.14,.12,.11,.06,.00,.01,.00,-.16,-.25,-.08,-.04,.01,.03,.20,.10,.01,-.16
1943,.07,-.04,-.08,-.10,-.10,-.04,.19,-.09,-.03,.00,.03,.08,-.01,-.02,.00,-.09,.02,.00
1944,.08,.05,.21,.21,.14,.16,.23,.22,.21,.09,.03,.09,.14,.14,.07,.19,.20,.11
1945,.10,.08,.03,.10,.04,-.05,.02,.24,.22,.13,.07,.09,.09,.09,.09,.06,.07,.14
1946,-.03,-.03,-.08,-.20,-.17,-.37,-.21,-.31,-.12,-.17,-.18,-.15,-.17,-.15,.01,-.15,-.30,-.15
1947,-.08,-.11,-.16,-.11,-.10,-.03,-.05,-.10,-.23,-.26,-.15,-.21,-.13,-.13,-.11,-.12,-.06,-.21
1948,-.17,-.14,-.20,-.20,-.17,-.15,-.23,-.26,-.26,-.18,-.28,-.08,-.19,-.20,-.17,-.19,-.21,-.24
1949,-.10,-.19,-.08,-.19,-.20,-.34,-.15,-.21,-.18,-.20,-.25,-.22,-.19,-.18,-.12,-.16,-.23,-.21
1950,-.23,-.26,-.22,-.20,-.19,-.06,.00,-.13,-.15,-.35,-.35,-.32,-.21,-.20,-.24,-.20,-.06,-.28
1951,-.33,-.32,-.22,-.35,-.18,-.11,-.09,-.10,-.21,-.11,-.09,-.06,-.18,-.20,-.32,-.25,-.10,-.13
1952,.07,.06,.07,-.10,-.19,-.22,-.05,.02,.00,.01,-.05,-.04,-.04,-.04,.02,-.08,-.08,-.01
1953,-.09,-.07,-.03,-.01,-.01,-.01,-.19,-.07,-.08,-.10,-.13,-.12,-.08,-.07,-.07,-.02,-.09,-.10
1954,-.24,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.29,-.18,-.20,-.27,-.26,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.20,-.22,-.22,-.29,-.19,-.19,-.06,-.22,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.15,-.21
1956,-.22,-.18,-.19,-.30,-.29,-.12,.00,-.24,-.07,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
